2:5:9.273           Problem.Calculate   Starting calculation: Task Count = 300; Truck Count = 4; Iterations = 10000
2:5:12.641          Problem.Calculate   Resolving input to OSRM nodes
2:5:12.643          Problem.Calculate   Coordinate resolution complete!
2:13:52.399         FitnessImprovement  Iteration = 121; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 122; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 123; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 124; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 125; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 126; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 127; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 128; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 129; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 130; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 131; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 132; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 133; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 134; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 135; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 136; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 137; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 138; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 139; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 140; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 141; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 142; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 143; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 144; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 145; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 146; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 147; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 148; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 149; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 150; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 151; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 152; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 153; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 154; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 155; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 156; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 157; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 158; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 159; Fitness = 215368
